brand,model,prod_class,prod_short_descr,num_usr_reviews,rec_rvw_rating,has_reviews,survey_cons,survey_pros,ratings_distribution,user_rating,user_rating_txt,user_rvw_hdln,submit_dateTime,submit_date,submit_time,rvw_username,rvw_userLocation,rvw_userCity,rvw_userState,rvw_userCountry,verified_buyer,verified_reviewer,user_review_content,btm_line_txt,url,reported_exceptions
Acer,Acer Aspire One Cloudbook AO1-131-C9PM computer,laptop,"An 11.6-inch laptop tested with Windows 10 Home, an Intel Celeron N3050 1.6GHz processor, 2GB of memory, Intel HD Graphics graphics, and a 32GB solid state drive.",1,2.0,True,"CONS
1 Crashes/Freezes
1 Poor Software Bundle
1 Slow
1 Unreliable Performance","PROS
No Pros","5 Stars 0
4 Stars 0
3 Stars 0
2 Stars 1
1 Star 0",2.0,,"Not enough storage, Poor customer service",2016-07-08T16:08:05.535Z,2016-07-08,16:08:05.535,danny,"Atlanta,GA",Atlanta,GA,USA,nan,nan,"Things that are not so great about it not enough memory, memory card is not working properly.","No, I would not recommend to a friend",http://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Air 13-inch MJVE2LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",6,4.8,True,"CONS
1 Poor Speaker Quality","PROS
6 Easy To Use
6 Good Battery Life
6 Lightweight
5 Fast
5 Reliable Performance","5 Stars 5
4 Stars 1
3 Stars 0
2 Stars 0
1 Star 0",5.0,,I would defintely buy this product again,2017-05-17T18:11:30.681Z,2017-05-17,18:11:30.681,poutine,"New Hampshire,Usa",New Hampshire,nan,USA,nan,Verified Reviewer,The Macbook Air is very riliable and provides little to no learning curve.,"Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Air 13-inch MJVE2LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",6,4.8,True,"CONS
1 Poor Speaker Quality","PROS
6 Easy To Use
6 Good Battery Life
6 Lightweight
5 Fast
5 Reliable Performance","5 Stars 5
4 Stars 1
3 Stars 0
2 Stars 0
1 Star 0",5.0,,Very Good Computer,2017-01-22T14:14:09.818Z,2017-01-22,14:14:09.818,D. Greene,"Brooklyn, NY",Brooklyn, NY,USA,nan,Verified Reviewer,"I have never owned a MAC. I bought the Macbook Air as a gift to myself. I read the reviews for the Macbook Air & Pro. After seeing them both in person, I liked the Pro but felt it was a little too heavy. I fell in love with the Air at first sight. I strictly use the Air to browse the web, check my e-mail, and to research information. I find it easy to use and I love the long battery life. Also it is very light in weight. With some assistance from my wife, it was easy to set up. So far I have no complaints or regrets.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Air 13-inch MJVE2LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",6,4.8,True,"CONS
1 Poor Speaker Quality","PROS
6 Easy To Use
6 Good Battery Life
6 Lightweight
5 Fast
5 Reliable Performance","5 Stars 5
4 Stars 1
3 Stars 0
2 Stars 0
1 Star 0",5.0,,The best computer I have ever owned,2016-10-31T22:04:09.615Z,2016-10-31,22:04:09.615,Ziggy the musician,"Redondo Beach, CA",Redondo Beach, CA,USA,nan,Verified Reviewer,"This is a great little computer. The price of admission is a little higher (or a lot higher these days), but it's worth it, even without taking resale value into consideration (a traditional Mac strongpoint). I have owned a '07 iMac, still own a '09 MacPro (for work), but the '13 MacBookAir is the best all-round machine of them all. Don't worry about the low resolution of the display; it looks great. It feels plenty quick and snappy for generic everyday use, even after three years; none of the gradual slowing down that seems par for the course on cheaper Windows PC's. It's not powerful enough for heavy duty processing, that's what I have the MacPro for. But the MBA is the perfect desert-island computer. Assuming the island has power and internet, of course.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Air 13-inch MJVE2LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",6,4.8,True,"CONS
1 Poor Speaker Quality","PROS
6 Easy To Use
6 Good Battery Life
6 Lightweight
5 Fast
5 Reliable Performance","5 Stars 5
4 Stars 1
3 Stars 0
2 Stars 0
1 Star 0",5.0,,Excellent Computer. It always do the job. Fast,2016-07-10T18:52:18.471Z,2016-07-10,18:52:18.471,Computer Friendly Ivy,"San Juan, PR",San Juan, PR,USA,nan,Verified Reviewer,Every day use. Even if I have to stop something for a week then you can continue your work without disturbances. It is very easy and friendly. I can write as I am right now resting and even no efforts. I have a prior Mac Book 2008 and used it for 6 years. Bought this one due to its long performance and battery life. I dont have to struggle with uptdate and unwanted problems. I do not use it for gaming or video editing. If you want to do that consider a Mac Book Pro. I have a IMAC that usually do the tough job. Great computer.,"Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Air 13-inch MJVE2LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",6,4.8,True,"CONS
1 Poor Speaker Quality","PROS
6 Easy To Use
6 Good Battery Life
6 Lightweight
5 Fast
5 Reliable Performance","5 Stars 5
4 Stars 1
3 Stars 0
2 Stars 0
1 Star 0",4.0,,I would be this product again if I had the extra money!,2016-03-25T15:38:17.957Z,2016-03-25,15:38:17.957,Derrick,"Pittburgh, Pa",Pittburgh, Pa,USA,nan,nan,"My two Brother-In-Laws work for Apple and are very computer savvy! They have helped me with my Apple computers and have given me a lot of advice about how to use them and what I can do with them. I would recommend these computers to anyone if they have the money to spend on them. They are very, very EXPENSIVE!","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Air 13-inch MJVE2LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 1.6GHz processor, 4GB of memory, Intel HD Graphics 6000 graphics, and a 128GB solid state drive.",6,4.8,True,"CONS
1 Poor Speaker Quality","PROS
6 Easy To Use
6 Good Battery Life
6 Lightweight
5 Fast
5 Reliable Performance","5 Stars 5
4 Stars 1
3 Stars 0
2 Stars 0
1 Star 0",5.0,,MacBook Air 13 inch,2015-06-16T13:53:09.209Z,2015-06-16,13:53:09.209,Carolina Girl,South Carolina,,South Carolina,USA,nan,nan,Love it! Would recommend buying the extra customer support package as you will need the help with software if you are new to Apple like I was. They have the BEST Tech Support Staff I have ever felt with!,"Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-air-13-inch-mjve2ll-a-374086/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 13-inch with Retina Display MF839LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 2.7GHz processor, 8GB of memory, Intel Iris Graphics 6100 graphics, and a 128GB solid state drive.",8,4.1,True,"CONS
2 Heavy
1 Left Out Some Ports
1 Quality Concerns
1 Storage Fast Not Enough
1 Unreliable Performance","PROS
8 Durable Construction
8 Fast
7 Easy To Use
7 Good Battery Life
7 Reliable Performance","5 Stars 3
4 Stars 4
3 Stars 0
2 Stars 1
1 Star 0",2.0,,Annoyed with Apple products lately.,2016-11-30T08:10:14.299Z,2016-11-30,08:10:14.299,Scott,"Greensboro, NC",Greensboro, NC,USA,nan,nan,"As a father of 3 college kids, we have extensive (and expensive) experience with Apple products (4 laptops and 2 Macs). The last two MacBooks (one a MacBook Pro and the other a MacBook Air) were bought within the last 18 months and are both being used by college students. The screen on the Pro has developed a 1"" black vertical line and Apple said, ""screens just malfunction sometimes."" Cost to replace? $500. For the price you pay for their products, I'd like to think I'd get more than a few months out of them. The logic board on the Air is already acting up. Replacement cost? North of $400. Both were just out of the warranty period. I hoped my assumption that Apple was of higher quality would eliminate the need to spend even more on extended warranty. I was wrong. Totally fed up with Apple!","No, I would not recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 13-inch with Retina Display MF839LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 2.7GHz processor, 8GB of memory, Intel Iris Graphics 6100 graphics, and a 128GB solid state drive.",8,4.1,True,"CONS
2 Heavy
1 Left Out Some Ports
1 Quality Concerns
1 Storage Fast Not Enough
1 Unreliable Performance","PROS
8 Durable Construction
8 Fast
7 Easy To Use
7 Good Battery Life
7 Reliable Performance","5 Stars 3
4 Stars 4
3 Stars 0
2 Stars 1
1 Star 0",4.0,,The best computer I have ever owned,2016-09-16T02:36:36.093Z,2016-09-16,02:36:36.093,Michelangelo,"Brooklyn, NY",Brooklyn, NY,USA,nan,nan,"By far, the best all-around computer I have ever owned. I would prefer if it were a few ounces lighter, the only possible improvement I can think of. I recommend it highly.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook Pro 13-inch with Retina Display MF839LL/A computer,laptop,"A 13.3-inch laptop tested with OS X Yosemite 10.10, an Intel Core i5 2.7GHz processor, 8GB of memory, Intel Iris Graphics 6100 graphics, and a 128GB solid state drive.",8,4.1,True,"CONS
2 Heavy
1 Left Out Some Ports
1 Quality Concerns
1 Storage Fast Not Enough
1 Unreliable Performance","PROS
8 Durable Construction
8 Fast
7 Easy To Use
7 Good Battery Life
7 Reliable Performance","5 Stars 3
4 Stars 4
3 Stars 0
2 Stars 1
1 Star 0",4.0,,A nice upgrade from 7 yr old MBP,2016-08-09T17:26:59.756Z,2016-08-09,17:26:59.756,PenaciousH,Central New Jersey,,Central New Jersey,USA,nan,nan,"I use this for general home use occasionally (surfing web, hotel research, using CR) but mostly for work related report writing and access to web apps I need.","Yes, I would recommend to a friend",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-with-retina-display-mf839ll-a-374087/user-reviews#user-reviews,Verified Buyer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/nVerified Reviewer Not Found: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
